Section,A,B,C,D,F,Total A-F,GPA,I,S,U,Q,X,Total,Instructor
CHEM-107-401,10,14,15,5,1,45,2.600,0,0,0,4,0,49,NAIR R
CHEM-107-403,19,18,14,4,1,56,2.892,0,0,0,4,0,60,NAIR R
CHEM-107-404,12,11,11,2,1,37,2.837,0,0,0,5,0,42,NAIR R
CHEM-107-405,5,13,27,6,2,53,2.245,0,0,0,3,1,57,TOWNSEND G
CHEM-117-401,1,14,1,3,0,19,2.684,0,0,0,0,0,19,TOWNSEND G
CHEM-117-403,1,13,5,0,0,19,2.789,0,0,0,1,0,20,TOWNSEND G
CHEM-117-405,9,5,0,1,3,18,2.888,0,0,0,0,0,18,TOWNSEND G
CHEM-117-406,4,12,2,0,0,18,3.111,0,0,0,0,0,18,TOWNSEND G
CHEM-117-407,1,7,4,3,3,18,2.000,0,0,0,1,0,19,TOWNSEND G
CHEM-117-408,3,5,3,3,1,15,2.400,0,0,0,0,0,15,TOWNSEND G
CHEM-117-409,4,13,2,0,0,19,3.105,0,0,0,1,0,20,TOWNSEND G
CHEM-117-410,1,10,4,0,1,16,2.625,0,0,0,0,0,16,TOWNSEND G
CHEM-117-412,9,4,3,0,0,16,3.375,0,0,0,0,0,16,TOWNSEND G
CHEM-117-421,3,11,4,1,0,19,2.842,0,0,0,0,0,19,TOWNSEND G
CHEM-117-428,14,5,0,0,0,19,3.736,0,0,0,0,0,19,TOWNSEND G
CHEM-119-200,2,4,1,1,0,8,2.875,0,0,0,0,0,8,GALAN J
CHEM-119-401,4,4,5,2,1,16,2.500,0,0,0,3,0,19,ARONSON C
CHEM-119-402,4,5,6,4,1,20,2.350,0,0,0,0,0,20,ARONSON C
CHEM-119-403,2,5,5,4,3,19,1.947,0,0,0,2,0,21,ARONSON C
CHEM-119-404,3,2,9,6,0,20,2.100,0,0,0,1,0,21,ARONSON C
CHEM-119-405,4,3,6,5,1,19,2.210,0,0,0,2,0,21,TOWNSEND G
CHEM-119-406,2,6,4,9,1,22,1.954,0,0,0,0,0,22,TOWNSEND G
CHEM-119-407,2,4,8,3,2,19,2.052,0,0,0,2,0,21,TOWNSEND G
CHEM-119-408,3,5,6,4,1,19,2.263,0,0,0,1,0,20,TOWNSEND G
CHEM-119-410,1,3,6,4,3,17,1.705,0,0,0,1,0,18,ARONSON C
CHEM-119-411,3,3,8,1,4,19,2.000,0,0,0,1,0,20,ARONSON C
CHEM-120-401,0,5,4,3,1,13,2.000,0,0,0,0,0,13,GALAN J
CHEM-120-402,2,2,5,2,1,12,2.166,0,0,0,1,0,13,GALAN J
CHEM-120-403,3,2,7,1,1,14,2.357,0,0,0,1,0,15,GALAN J
CHEM-227-401,7,17,18,5,1,48,2.500,0,0,0,1,0,49,MOSER M
CHEM-227-402,8,9,9,7,5,38,2.210,0,0,0,2,0,40,ULLOA O
CHEM-228-401,2,4,8,1,1,16,2.312,0,0,0,0,0,16,ULLOA O
CHEM-237-401,8,6,2,0,0,16,3.375,0,0,0,0,0,16,TOWNSEND G
