Section,A,B,C,D,F,Total A-F,GPA,I,S,U,Q,X,Total,Instructor
PHEO-600-600,5,2,0,0,0,7,3.714,0,0,0,0,0,7,BENDEN M
PHEO-605-600,22,0,0,0,0,22,4.000,1,0,0,0,0,23,MCDONALD T
PHEO-613-700,5,0,0,0,0,5,4.000,0,0,0,0,0,5,CARRILLO G
PHEO-618-600,11,5,1,0,0,17,3.588,0,0,0,1,0,18,PICKENS A
PHEO-630-600,18,8,0,0,0,26,3.692,0,0,0,0,0,26,JOHNSON N
PHEO-676-699,7,1,0,0,0,8,3.875,0,0,0,0,0,8,SHARMA V
PHEO-678-600,15,2,0,0,0,17,3.882,0,0,0,0,0,17,BENDEN M
PHEO-682-600,9,3,0,0,0,12,3.750,0,0,0,0,0,12,BENDEN M
PHEO-689-601,6,2,0,0,0,8,3.750,1,0,0,0,0,9,PERES C
DEPARTMENT TOTAL:,98,23,1,0,0,122,3.795,2,0,0,1,0,125,
PHEB-602-600,13,12,11,0,0,36,3.055,0,0,0,1,0,37,HAN G
PHEB-602-699,0,4,3,0,0,7,2.571,0,0,0,0,0,7,HAN G
PHEB-602-700,3,7,7,0,1,18,2.611,0,0,0,0,0,18,HAN G
PHEB-609-600,24,9,0,0,0,33,3.727,0,0,0,0,0,33,ZHAO H
PHEB-609-700,12,10,0,1,0,23,3.434,0,0,0,1,0,24,ZHENG Q
PHEB-610-600,20,16,0,0,0,36,3.555,1,0,0,0,0,37,REGAN A
PHEB-610-700,7,11,3,0,2,23,2.913,0,0,0,0,0,23,REGAN A
PHEB-615-600,8,0,0,0,0,8,4.000,0,0,0,0,0,8,CLENDENIN M
PHEB-618-600,14,0,0,0,0,14,4.000,0,0,0,0,0,14,HAN D
PHEB-619-700,13,4,0,0,0,17,3.764,0,0,0,0,0,17,ZANWAR P
PHEB-619-701,5,1,0,0,0,6,3.833,0,0,0,0,0,6,ZANWAR P
PHEB-620-700,5,4,0,0,0,9,3.555,0,0,0,0,0,9,ZANWAR P
PHEB-689-602,6,4,0,0,0,10,3.600,0,0,0,0,0,10,XU X
PHPM-601-698,7,0,0,0,0,7,4.000,0,0,0,0,0,7,RAMIREZ G
PHPM-601-699,24,0,0,0,0,24,4.000,0,0,0,0,0,24,RAMIREZ G
PHPM-602-600,14,13,0,0,0,27,3.518,0,0,0,0,1,28,OHSFELDT R
PHPM-604-600,10,0,0,0,0,10,4.000,0,0,0,0,0,10,MCDONALD T
PHPM-605-600,16,3,0,0,0,19,3.842,0,0,0,0,0,19,FERDINAND A
PHPM-606-600,25,0,0,0,0,25,4.000,0,0,0,0,0,25,TOMASZEWSKI L
PHPM-606-601,10,0,0,0,0,10,4.000,0,0,0,0,0,10,FISH J
PHPM-615-600,20,4,0,0,0,24,3.833,0,0,0,0,0,24,WASHBURN D
PHPM-616-600,22,0,0,0,0,22,4.000,0,0,0,0,0,22,TOMASZEWSKI L
PHPM-616-601,7,0,0,0,0,7,4.000,0,0,0,0,0,7,TOMASZEWSKI L
PHPM-620-600,7,13,2,0,0,22,3.227,0,0,0,0,0,22,COTE M
PHPM-620-601,5,2,0,0,0,7,3.714,0,0,0,0,0,7,COTE M
PHPM-623-600,25,0,0,0,0,25,4.000,0,0,0,0,0,25,FISH J
PHPM-633-600,11,5,0,0,0,16,3.687,0,0,0,0,0,16,FERDINAND A
PHPM-661-600,31,12,0,0,0,43,3.720,0,0,0,0,0,43,RADCLIFF T
PHPM-671-600,5,2,0,0,0,7,3.714,0,0,0,0,0,7,CALLAGHAN T
DEPARTMENT TOTAL:,239,54,2,0,0,295,3.808,0,0,0,0,1,296,
HPCH-603-696,12,7,0,0,1,20,3.450,0,0,0,0,0,20,TAI-SEALE T
HPCH-607-699,6,0,0,0,1,7,3.428,0,0,0,0,0,7,TAI-SEALE T
HPCH-613-602,5,0,0,0,0,5,4.000,0,0,0,0,0,5,MIER N
HPCH-625-600,5,0,0,0,0,5,4.000,0,0,0,0,0,5,CRUDO C
HPCH-635-600,13,0,0,0,0,13,4.000,0,0,0,0,0,13,BURDINE J
HPCH-637-600,17,2,0,0,0,19,3.894,0,0,0,0,0,19,GARCIA R
HPCH-637-601,5,0,0,0,0,5,4.000,0,0,0,0,0,5,MIER N
HPCH-670-600,9,0,0,0,0,9,4.000,1,0,0,0,0,10,COLWELL G
DEPARTMENT TOTAL:,72,9,0,0,2,83,3.795,1,0,0,0,0,84,
PHLT-270-201,31,0,0,0,0,31,4.000,0,0,0,0,0,31,CURTIS JR. D
PHLT-289-500,18,0,0,0,0,18,4.000,0,0,0,0,0,18,RODRIGUEZ J
PHLT-301-501,60,18,0,1,2,81,3.641,0,0,0,0,0,81,GRIFFITH J
PHLT-301-502,74,14,7,2,1,98,3.612,1,0,0,0,0,99,GRIFFITH J
PHLT-302-597,91,0,0,0,0,91,4.000,0,0,0,0,0,91,RAMIREZ G
PHLT-302-598,98,0,0,0,0,98,4.000,0,0,0,0,0,98,RAMIREZ G
PHLT-302-599,98,0,0,0,0,98,4.000,0,0,0,0,0,98,RAMIREZ G
PHLT-302-M99,8,1,0,0,0,9,3.888,0,0,0,0,0,9,RAMIREZ G
PHLT-303-501,117,19,0,0,0,136,3.860,0,0,0,0,0,136,STASI S
PHLT-303-M01,6,0,0,0,0,6,4.000,0,0,0,0,0,6,FLORES K
PHLT-304-500,101,25,3,0,0,129,3.759,0,0,0,0,0,129,CIZMAS L
PHLT-305-500,61,59,7,1,1,129,3.379,0,0,0,1,0,130,KALBASI S
PHLT-305-M01,4,2,2,0,0,8,3.250,0,0,0,0,1,9,DELGADO RENDON A
PHLT-307-599,148,27,7,0,1,183,3.754,0,0,0,1,0,184,APPIAH B
PHLT-307-M98,9,4,0,0,0,13,3.692,0,0,0,0,0,13,APPIAH B
PHLT-309-500,108,29,0,0,0,137,3.788,0,0,0,0,0,137,GARCIA R
PHLT-313-500,107,24,4,0,0,135,3.762,0,0,0,0,0,135,LIN S
PHLT-313-M01,0,2,2,1,0,5,2.200,0,0,0,0,0,5,LIN S
PHLT-314-500,33,6,1,0,0,40,3.800,0,0,0,0,0,40,LIN S
PHLT-314-503,27,12,1,0,0,40,3.650,0,0,0,0,0,40,BEVERLY J
PHLT-314-M01,1,4,1,0,0,6,3.000,0,0,0,2,0,8,LIN S
PHLT-315-500,10,8,1,0,0,19,3.473,0,0,0,2,0,21,LIN S
PHLT-315-501,20,16,1,0,0,37,3.513,0,0,0,0,0,37,LIN S
PHLT-330-500,127,10,1,0,0,138,3.913,0,0,0,0,0,138,MCDONALD T
PHLT-331-599,40,19,7,2,1,69,3.376,0,0,0,3,0,72,BOKELMANN A
PHLT-410-500,75,1,0,0,0,76,3.986,0,0,0,0,0,76,RENE A
PHLT-410-M01,3,1,1,0,0,5,3.400,0,0,0,0,0,5,FLORES K
PHLT-411-500,85,34,0,0,0,119,3.714,0,0,0,1,0,120,JASEK E
PHLT-412-500,71,14,3,0,0,88,3.772,0,0,0,1,0,89,LIN S
PHLT-415-500,39,10,0,0,0,49,3.795,0,0,0,0,0,49,CLENDENIN M
PHLT-415-501,44,7,1,0,0,52,3.826,0,0,0,0,0,52,CLENDENIN M
PHLT-432-500,18,19,8,0,0,45,3.222,0,0,0,1,0,46,PICKENS A
PHLT-441-500,44,5,2,0,0,51,3.823,0,0,0,0,0,51,STASI S
PHLT-441-501,46,5,0,0,0,51,3.901,0,0,0,1,0,52,STASI S
PHLT-445-500,33,1,0,0,0,34,3.970,0,0,0,0,0,34,GRIFFITH J
PHLT-445-501,8,1,0,0,0,9,3.888,0,0,0,0,0,9,GRIFFITH J
PHLT-489-500,7,0,0,0,0,7,4.000,0,0,0,0,0,7,BUCKLEY J
SOPH-601-701,9,12,0,0,0,21,3.428,1,0,0,0,0,22,MENDOZA SANCHEZ I
SOPH-602-601,14,4,0,0,0,18,3.777,0,0,0,0,0,18,CARRINO G
SOPH-602-604,14,3,0,0,0,17,3.823,0,0,0,0,0,17,SCHMIT C
SOPH-602-605,13,3,1,0,0,17,3.705,0,0,0,0,0,17,MENDOZA SANCHEZ I
SOPH-602-701,9,12,0,0,0,21,3.428,0,0,0,0,0,21,MENDOZA SANCHEZ I
SOPH-603-601,10,7,1,0,0,18,3.500,0,0,0,0,0,18,CARRINO G
SOPH-603-602,12,5,0,0,0,17,3.705,0,0,0,0,0,17,CLENDENIN M
SOPH-603-603,16,1,1,0,0,18,3.833,0,0,0,0,0,18,SANSOM G
SOPH-603-604,15,1,1,0,0,17,3.823,0,0,0,0,0,17,SCHMIT C
SOPH-603-605,14,3,0,0,0,17,3.823,0,0,0,0,0,17,MENDOZA SANCHEZ I
SOPH-603-701,12,7,0,0,1,20,3.450,1,0,0,0,0,21,MENDOZA SANCHEZ I
SOPH-676-600,17,0,0,0,0,17,4.000,0,0,0,0,0,17,GRIFFITH J
SOPH-689-604,16,0,0,0,0,16,4.000,0,0,0,0,0,16,SMITH M
DEPARTMENT TOTAL:,2041,455,64,7,7,2574,3.761,3,0,0,13,1,2591,
COLLEGE TOTAL:,2580,623,91,8,12,3314,3.740,7,0,0,16,2,3339,
