Section,A,B,C,D,F,Total A-F,GPA,I,S,U,Q,X,Total,Instructor
CHEN-204-500,6,11,7,1,2,27,2.666,0,0,0,0,0,27,SALAMA G
CHEN-304-500,6,8,6,1,0,21,2.904,0,0,0,0,0,21,KAKOSIMOS K
CHEN-320-500,7,14,0,0,0,21,3.333,0,0,0,0,0,21,AL-MOHANNADI D
CHEN-324-500,3,6,4,3,0,16,2.562,0,0,0,0,0,16,ABDALLA A
CHEN-354-500,5,13,4,0,0,22,3.045,0,0,0,0,0,22,ABDEL-WAHAB A
CHEN-364-500,5,7,3,1,0,16,3.000,0,0,0,0,0,16,AL-RAWASHDEH M
CHEN-425-500,1,10,1,2,0,14,2.714,2,0,0,0,0,16,LINKE P
CHEN-432-500,9,6,1,0,0,16,3.500,0,0,0,0,0,16,SALAMA G
CHEN-455-500,9,13,3,0,0,25,3.240,0,0,0,0,0,25,VECHOT L
CHEN-481-500,13,2,1,0,0,16,3.750,0,0,0,0,0,16,VECHOT L
CHEN-601-600,15,1,0,0,0,16,3.937,0,0,0,0,0,16,VECHOT L
CHEN-604-600,9,4,2,0,0,15,3.466,0,0,0,0,0,15,NOUNOU M
CHEN-641-600,3,3,0,0,0,6,3.500,0,0,0,0,0,6,ABDALLA A
CHEN-689-600,8,0,0,0,0,8,4.000,0,0,0,0,0,8,MARKATOS N
DEPARTMENT TOTAL:,99,98,32,8,2,239,3.114,2,0,0,0,0,241,
ASCC-101-500,17,4,3,1,0,25,3.480,0,0,0,0,0,25,RUDD L
ASCC-289-501,1,9,4,0,0,14,2.785,0,0,0,1,0,15,TELAFICI M
ASCC-289-502,3,8,1,0,0,12,3.166,0,0,0,0,0,12,WARD S
ASCC-289-503,0,0,4,1,1,6,1.500,0,0,0,0,0,6,TELAFICI M
ASCC-289-504,4,6,0,0,0,10,3.400,0,0,0,0,0,10,HILLMAN S
COMM-335-500,13,9,0,0,0,22,3.590,1,0,0,2,0,25,ESLAMI Z
ENGL-104-501,13,3,1,0,0,17,3.705,0,0,0,0,0,17,HINGTGEN L
ENGL-104-502,7,7,2,0,0,16,3.312,0,0,0,0,0,16,HINGTGEN L
ENGL-104-503,9,4,4,0,1,18,3.111,0,0,0,1,0,19,HINGTGEN L
ENGL-104-504,8,3,4,0,0,15,3.266,0,0,0,0,0,15,RUDD L
ENGL-104-505,13,4,1,0,0,18,3.666,0,0,0,0,0,18,RUDD L
ENGL-104-506,4,3,6,1,1,15,2.533,0,0,0,0,0,15,HODGES A
ENGL-210-501,6,3,1,0,0,10,3.500,0,0,0,0,0,10,HODGES A
ENGL-210-502,6,3,3,0,0,12,3.250,0,0,0,0,0,12,HODGES A
ENGL-210-503,9,3,3,0,0,15,3.400,0,0,0,0,0,15,RUDD L
ENGL-251-500,16,8,0,0,0,24,3.666,0,0,0,1,0,25,WARD S
ENGR-482-901,14,1,1,0,0,16,3.812,0,0,0,0,0,16,GRAY P
ENGR-482-902,12,6,1,0,0,19,3.578,0,0,0,0,0,19,GRAY P
HIST-105-501,21,10,2,1,2,36,3.305,0,0,0,1,0,37,BOUNDS B
HIST-105-502,17,5,6,2,2,32,3.031,0,0,0,0,0,32,BOUNDS B
HIST-106-500,19,13,2,0,1,35,3.400,0,0,0,1,1,37,BOUNDS B
HIST-258-500,29,16,3,0,0,48,3.541,0,0,0,0,1,49,VAN DE LOGT M
INST-222-500,3,18,1,0,0,22,3.090,0,0,0,1,0,23,ELSHEIKH A
MUSC-201-500,24,3,1,0,0,28,3.821,0,0,0,1,0,29,HINGTGEN L
POLS-206-501,14,8,3,1,0,26,3.346,0,0,0,0,0,26,BASHIR H
POLS-206-502,15,5,5,2,0,27,3.222,0,0,0,0,0,27,BASHIR H
POLS-207-501,8,11,0,0,0,19,3.421,0,0,0,0,0,19,URA J
POLS-207-502,16,11,0,0,0,27,3.592,2,0,0,1,0,30,URA J
DEPARTMENT TOTAL:,321,184,62,9,8,584,3.370,3,0,0,10,2,599,
CHEM-107-501,12,6,12,3,5,38,2.447,0,0,0,5,0,43,BROTHERS E
CHEM-107-502,8,8,9,6,5,36,2.222,1,0,0,9,0,46,BENGALI A
CHEM-107-503,7,8,5,1,2,23,2.739,0,0,0,7,0,30,BROTHERS E
CHEM-117-501,7,7,2,0,0,16,3.312,0,0,0,0,0,16,BENGALI A
CHEM-117-502,4,7,1,0,2,14,2.785,0,0,0,0,0,14,BENGALI A
CHEM-117-503,3,7,4,0,0,14,2.928,0,0,0,0,0,14,BROTHERS E
CHEM-117-504,2,4,3,0,0,9,2.888,0,0,0,0,0,9,BROTHERS E
CHEM-117-505,7,10,1,0,1,19,3.157,0,0,0,0,0,19,BENGALI A
CHEM-117-506,3,7,7,0,0,17,2.764,0,0,0,0,0,17,BROTHERS E
CHEM-227-500,4,11,5,4,0,24,2.625,0,0,0,1,0,25,MADRAHIMOV S
CHEM-237-501,7,4,1,0,0,12,3.500,0,0,0,0,0,12,MADRAHIMOV S
CHEM-237-503,5,4,2,0,1,12,3.000,0,0,0,0,0,12,MADRAHIMOV S
CHEM-316-500,11,9,1,1,0,22,3.363,0,0,0,0,0,22,BROTHERS E
MATH-150-501,3,3,6,4,0,16,2.312,0,0,0,0,0,16,SOUKIASSIAN Y
MATH-150-502,3,3,8,0,0,14,2.642,0,0,0,0,0,14,SOUKIASSIAN Y
MATH-150-503,4,4,1,1,0,10,3.100,0,0,0,1,0,11,WESTON A
MATH-150-504,5,3,1,1,0,10,3.200,0,0,0,0,0,10,WESTON A
MATH-150-505,1,3,5,4,0,13,2.076,0,0,0,2,0,15,SOUKIASSIAN Y
MATH-151-501,8,3,1,0,0,12,3.583,0,0,0,0,0,12,ELGINDI A
MATH-151-502,3,2,0,2,1,8,2.500,0,0,0,1,0,9,ELGINDI A
MATH-151-503,5,4,2,1,3,15,2.466,0,0,0,0,0,15,ELGINDI A
MATH-151-504,6,1,2,1,1,11,2.909,0,0,0,1,0,12,ELGINDI A
MATH-151-505,5,0,1,2,0,8,3.000,0,0,0,0,0,8,ELGINDI A
MATH-152-501,1,6,3,0,2,12,2.333,0,0,0,3,0,15,TRABELSI S
MATH-152-502,3,2,10,2,1,18,2.222,0,0,0,5,0,23,TRABELSI S
MATH-251-501,5,5,4,8,2,24,2.125,0,0,0,2,0,26,WESTON A
MATH-251-502,8,9,4,5,3,29,2.482,1,0,0,0,0,30,MIR N
MATH-251-503,1,11,3,7,2,24,2.083,0,0,0,1,0,25,MIR N
MATH-251-504,5,9,8,8,2,32,2.218,0,0,0,0,0,32,WESTON A
MATH-414-500,10,11,3,0,0,24,3.291,0,0,0,1,0,25,HUANG T
PHYS-206-501,4,8,7,4,2,25,2.320,0,0,0,4,0,29,BELIC M
PHYS-207-501,5,9,21,8,0,43,2.255,0,0,0,3,0,46,KROLIKOWSKI W
PHYS-207-503,12,16,17,7,0,52,2.634,0,0,0,1,0,53,TZORTZAKIS S
PHYS-222-500,7,2,10,3,0,22,2.590,0,0,0,1,0,23,NHA H
PHYS-309-500,5,2,3,0,0,10,3.200,0,0,0,0,0,10,NHA H
UGST-182-500,7,9,19,8,0,43,2.348,0,0,0,2,0,45,SOUKIASSIAN Y
ECEN-210-501,8,6,9,0,0,23,2.956,0,0,0,0,0,23,BOUTROS J
ECEN-210-502,3,7,7,0,0,17,2.764,0,0,0,2,0,19,BOLLAUF M
ECEN-248-501,2,5,2,0,1,10,2.700,0,0,0,0,0,10,ZILANY M
ECEN-248-502,3,1,4,0,1,9,2.555,0,0,0,0,0,9,ZILANY M
ECEN-314-501,3,3,7,1,0,14,2.571,0,0,0,0,0,14,QARAQE K
ECEN-314-502,6,5,2,0,0,13,3.307,0,0,0,0,0,13,QARAQE K
ECEN-314-503,0,4,5,0,0,9,2.444,0,0,0,0,0,9,QARAQE K
ECEN-322-501,2,7,5,0,0,14,2.785,0,0,0,0,0,14,JI J
ECEN-322-502,5,5,1,0,0,11,3.363,0,0,0,0,0,11,JI J
ECEN-325-501,4,5,3,0,0,12,3.083,0,0,0,0,0,12,BAYHAN S
ECEN-325-502,6,3,1,2,0,12,3.083,0,0,0,0,0,12,BAYHAN S
ECEN-325-503,3,2,6,1,0,12,2.583,0,0,0,0,0,12,BAYHAN S
ECEN-403-901,12,4,0,0,0,16,3.750,0,0,0,0,0,16,GHRAYEB A
ECEN-403-902,14,1,0,0,0,15,3.933,0,0,0,0,0,15,GHRAYEB A
ECEN-420-500,10,7,8,6,0,31,2.677,0,0,0,1,0,32,NOUNOU H
ECEN-438-501,7,4,1,0,0,12,3.500,0,0,0,0,0,12,BALOG R
ECEN-438-502,1,8,2,1,0,12,2.750,0,0,0,0,0,12,BALOG R
ECEN-444-501,6,2,0,2,0,10,3.200,0,0,0,0,0,10,SERPEDIN E
ECEN-444-502,1,3,3,1,0,8,2.500,0,0,0,0,0,8,SERPEDIN E
ECEN-455-501,8,7,0,0,0,15,3.533,0,0,0,0,0,15,BOUTROS J
ECEN-455-502,4,10,1,0,0,15,3.200,0,0,0,0,0,15,BOUTROS J
ECEN-489-500,15,7,0,1,0,23,3.565,0,0,0,0,0,23,ELLABBAN O
ENGR-102-200,6,4,1,0,0,11,3.454,0,0,0,0,0,11,ALNUWEIRI H
ENGR-102-501,5,8,4,0,0,17,3.058,0,0,0,0,0,17,ALNUWEIRI H
ENGR-102-502,3,5,9,0,0,17,2.647,0,0,0,0,0,17,ALNUWEIRI H
ENGR-102-504,4,8,2,0,0,14,3.142,0,0,0,1,0,15,ALNUWEIRI H
ENGR-102-505,1,3,2,0,0,6,2.833,0,0,0,0,0,6,ALNUWEIRI H
DEPARTMENT TOTAL:,142,134,85,15,2,378,3.047,0,0,0,4,0,382,
ENGR-217-501,17,8,0,0,1,26,3.538,0,0,0,0,0,26,ZILANY M
ENGR-217-502,6,7,1,0,0,14,3.357,0,0,0,0,0,14,ZILANY M
ENGR-217-503,7,8,2,1,0,18,3.166,0,0,0,0,0,18,ZILANY M
ENGR-217-504,15,7,1,0,1,24,3.458,0,0,0,1,0,25,ZILANY M
DEPARTMENT TOTAL:,45,30,4,1,2,82,3.402,0,0,0,1,0,83,
ENGR-216-501,0,4,11,0,1,16,2.125,0,0,0,1,0,17,SCHULLER M
ENGR-216-502,0,6,4,0,0,10,2.600,0,0,0,1,0,11,SCHULLER M
MEEN-210-501,4,2,2,0,0,8,3.250,0,0,0,1,0,9,ALHAMIDI Y
MEEN-210-502,1,6,8,1,0,16,2.437,0,0,0,0,0,16,ALHAMIDI Y
MEEN-221-502,9,7,3,1,0,20,3.200,0,0,0,0,0,20,RUIMI A
MEEN-222-501,3,5,3,1,0,12,2.833,0,0,0,0,0,12,MASAD E
MEEN-222-502,7,10,3,1,0,21,3.095,0,0,0,0,0,21,MANSOOR B
MEEN-225-501,3,3,8,1,0,15,2.533,0,0,0,0,0,15,KARKOUB M
MEEN-225-502,1,8,6,4,0,19,2.315,0,0,0,1,0,20,KARKOUB M
MEEN-344-501,6,3,2,2,1,14,2.785,1,0,0,1,0,16,HASSAN I
MEEN-344-502,2,6,0,3,0,11,2.636,0,0,0,0,0,11,SCHULLER M
MEEN-345-501,12,1,0,0,0,13,3.923,0,0,0,0,0,13,GUO B
MEEN-345-502,2,7,4,0,0,13,2.846,0,0,0,0,0,13,GUO B
MEEN-357-501,9,3,4,0,0,16,3.312,0,0,0,0,1,17,EL BORGI S
MEEN-357-502,1,7,5,0,0,13,2.692,0,0,0,0,0,13,EL BORGI S
MEEN-360-500,3,12,9,2,0,26,2.615,0,0,0,0,0,26,SHUNMUGASAMY V
MEEN-361-501,6,0,0,0,0,6,4.000,0,0,0,0,0,6,SHUNMUGASAMY V
MEEN-361-502,7,0,0,0,0,7,4.000,0,0,0,0,0,7,SHUNMUGASAMY V
MEEN-361-503,4,2,1,0,0,7,3.428,0,0,0,0,0,7,SHUNMUGASAMY V
MEEN-361-504,0,5,0,0,0,5,3.000,0,0,0,0,0,5,SHUNMUGASAMY V
MEEN-363-501,2,8,4,3,0,17,2.529,0,0,0,0,0,17,TAFRESHI R
MEEN-363-502,0,6,2,3,0,11,2.272,0,0,0,0,0,11,TAFRESHI R
MEEN-401-501,4,10,4,0,0,18,3.000,0,0,0,0,0,18,SCHULLER M
MEEN-401-502,7,11,3,0,0,21,3.190,0,0,0,0,0,21,SCHULLER M
MEEN-404-901,11,8,1,0,0,20,3.500,0,0,0,0,0,20,SRINIVASA A
MEEN-404-902,12,5,2,0,0,19,3.526,0,0,0,0,0,19,SRINIVASA A
MEEN-431-500,4,8,3,0,0,15,3.066,0,0,0,1,0,16,TAFRESHI R
MEEN-437-500,9,10,10,0,0,29,2.965,0,0,0,1,0,30,GUO B
GEOL-404-500,5,6,2,0,0,13,3.230,1,0,0,0,0,14,SEERS T
PETE-225-501,3,2,2,0,0,7,3.142,0,0,0,0,0,7,AMANI M
PETE-225-502,4,5,1,0,0,10,3.300,0,0,0,0,0,10,AMANI M
PETE-301-500,2,3,3,0,0,8,2.875,0,0,0,0,0,8,GUERILLOT D
PETE-310-500,4,5,1,0,0,10,3.300,0,0,0,0,0,10,ALYAFEI N
PETE-314-500,4,3,2,0,0,9,3.222,0,0,0,0,0,9,RAHMAN M
PETE-353-500,2,4,2,1,0,9,2.777,0,0,0,0,0,9,FADLELMULA M
PETE-401-500,7,2,1,0,0,10,3.600,0,0,0,0,0,10,RETNANTO A
PETE-404-500,6,3,1,0,0,10,3.500,0,0,0,0,0,10,FADLELMULA M
PETE-410-500,7,2,1,0,0,10,3.600,0,0,0,0,0,10,RETNANTO A
PETE-413-500,7,2,1,0,0,10,3.600,0,0,0,0,0,10,RETNANTO A
PETE-436-900,5,5,0,0,0,10,3.500,0,0,0,0,0,10,ELBASHIR N
DEPARTMENT TOTAL:,56,42,17,1,0,116,3.298,1,0,0,0,0,117
COLLEGE TOTAL:,988,868,494,147,51,2548,2.996,9,0,0,72,3,2632
