Section,A,B,C,D,F,Total A-F,GPA,I,S,U,Q,X,Total,Instructor
LAW-601-600,2,2,1,0,0,5,3.200,0,0,0,0,1,6,WELSH N
LAW-603-600,10,4,1,0,0,15,3.600,0,0,0,0,2,17,BURGE M
LAW-606-600,6,2,0,0,0,8,3.750,0,0,0,0,1,9,SHORT A
LAW-689-600,7,2,0,0,0,9,3.777,0,0,0,0,0,9,TOPINKA J
LAW-689-601,7,0,0,0,0,7,4.000,0,0,0,0,0,7,BEASLEY J
LAW-689-603,2,4,1,0,0,7,3.142,0,0,0,1,0,8,MARVIN E
LAW-689-606,14,4,0,0,0,18,3.777,0,0,0,0,0,18,PENROSE M
LAW-689-700,27,2,0,0,0,29,3.931,1,0,0,0,0,30,DEWITTE P
LAW-689-701,9,0,0,0,1,10,3.600,0,0,0,0,2,12,BYRNES W
LAW-689-702,10,0,0,0,0,10,4.000,0,0,0,0,1,11,BYRNES W
LAW-689-703,17,0,0,0,1,18,3.777,5,0,0,1,0,24,DEWITTE P
LAW-689-704,6,4,0,0,0,10,3.600,0,0,0,0,0,10,BURGE M
LAW-689-705,4,4,2,0,0,10,3.200,0,0,0,0,0,10,MAROUF F
LAW-706-600,20,5,0,0,1,26,3.653,4,0,0,2,0,32,NEWMAN N
LAW-764-600,8,5,1,0,0,14,3.500,0,0,0,0,2,16,BURGE M
LAW-772-700,30,1,0,0,0,31,3.967,0,0,0,2,0,33,KRAVITZ R
LAW-772-701,19,2,0,0,5,26,3.153,4,0,0,1,0,31,KRAVITZ R
LAW-773-600,17,4,0,0,2,23,3.478,0,0,0,0,0,23,MENTZ G
LAW-775-700,31,5,0,0,0,36,3.861,1,0,0,0,0,37,BRILL A
LAW-776-700,25,7,3,0,5,40,3.175,0,0,0,0,0,40,HARNESS N
LAW-777-700,16,10,1,0,0,27,3.555,3,0,0,0,2,32,KLEINFIELD D
LAW-778-700,12,10,1,0,0,23,3.478,0,0,0,0,0,23,GUIORA A
LAW-798-600,9,1,0,0,0,10,3.900,0,0,0,0,0,10,GEORGE J
DEPARTMENT TOTAL:,308,78,11,0,15,412,3.607,18,0,0,7,11,448
COLLEGE TOTAL:,308,78,11,0,15,412,3.607,18,0,0,7,11,448
