Section,A,B,C,D,F,Total A-F,GPA,I,S,U,Q,X,Total,Instructor
BIMS-101-501,125,0,0,0,0,125,4.000,0,0,0,0,0,125,TIAN Y
BIMS-101-502,122,0,0,0,0,122,4.000,0,0,0,0,0,122,TIAN Y
BIMS-101-503,111,9,1,0,1,122,3.877,0,0,0,1,0,123,IVANOV I
BIMS-101-504,115,5,0,0,0,120,3.958,0,0,0,2,0,122,IVANOV I
BIMS-101-M01,36,5,0,0,0,41,3.878,0,0,0,0,0,41,MIRHOSSEINI N
BIMS-110-501,95,1,0,0,1,97,3.948,0,0,0,0,0,97,YOUNG C
BIMS-110-502,90,3,2,0,1,96,3.885,0,0,0,0,0,96,YOUNG C
BIMS-289-500,5,2,0,0,0,7,3.714,0,0,0,0,0,7,KRENEK N
BIMS-289-502,23,0,0,0,0,23,4.000,0,0,0,0,0,23,CARLISLE E
BIMS-289-503,25,0,0,0,0,25,4.000,0,0,0,0,0,25,BLACK M
BIMS-320-201,10,1,0,0,0,11,3.909,0,0,0,0,0,11,RAUDSEPP T
BIMS-320-501,10,13,17,11,12,63,1.968,0,0,0,13,0,76,KATJU V
BIMS-320-502,76,4,1,0,0,81,3.925,0,0,0,0,0,81,VENKATRAJ V
BIMS-320-503,27,17,26,2,2,74,2.878,0,0,0,5,0,79,BERGTHORSSON U
BIMS-320-550,13,0,0,0,0,13,4.000,0,0,0,0,0,13,DERR J
BIMS-405-500,31,15,1,0,0,47,3.638,0,0,0,0,0,47,DERR J
BIMS-421-500,19,0,0,0,0,19,4.000,0,0,0,1,0,20,VENKATRAJ V
BIMS-485-500,23,0,0,0,0,23,4.000,0,4,0,0,0,27,CROUCH E
BIMS-489-500,62,1,1,0,2,66,3.833,0,0,0,1,0,67,YOUNG C
BIMS-489-501,63,3,0,1,0,67,3.910,0,0,0,0,0,67,YOUNG C
BIMS-491-534,9,0,0,0,0,9,4.000,0,0,0,1,0,10,CROUCH E
BIMS-602-600,30,1,0,0,0,31,3.967,0,0,0,0,0,31,BURGHARDT R
VIBS-111-500,55,0,1,1,0,57,3.912,0,0,0,0,0,57,YOUNG C
VIBS-111-501,46,2,1,0,0,49,3.918,0,0,0,0,0,49,YOUNG C
VIBS-201-700,42,5,1,0,0,48,3.854,0,0,0,0,0,48,KLEMM W
VIBS-243-500,27,10,7,0,0,44,3.454,0,0,0,3,0,47,JOHNSON L
VIBS-243-501,25,13,8,1,1,48,3.250,0,0,0,3,0,51,JOHNSON L
VIBS-243-502,33,12,2,0,1,48,3.583,0,0,0,6,0,54,JOHNSON L
VIBS-243-503,28,9,10,1,0,48,3.333,0,0,0,1,0,49,JOHNSON L
VIBS-243-M01,4,4,9,0,0,17,2.705,0,0,0,0,0,17,JOHNSON L
VIBS-305-501,23,26,28,8,2,87,2.689,1,0,0,5,0,93,PINE M
VIBS-305-502,21,34,26,5,0,86,2.825,0,0,0,6,0,92,PINE M
VIBS-305-503,30,35,16,2,3,86,3.011,1,0,0,8,0,95,PINE M
VIBS-343-500,17,11,2,0,0,30,3.500,0,0,0,6,0,36,JOHNSON G
VIBS-404-200,14,0,0,0,0,14,4.000,0,0,0,0,0,14,PHILLIPS T
VIBS-424-204,9,1,0,0,0,10,3.900,0,0,0,0,0,10,AROSH J
VIBS-450-200,2,3,1,0,0,6,3.166,0,0,0,2,0,8,KO G
VIBS-450-500,5,2,2,0,1,10,3.000,0,0,0,5,0,15,KO G
VIBS-485-515,14,0,0,0,0,14,4.000,0,0,0,0,0,14,JOHNSON L
VIBS-489-500,16,0,0,0,0,16,4.000,0,0,0,0,0,16,PINE M
VIBS-602-601,28,7,0,0,0,35,3.800,0,0,0,0,0,35,JOHNSON G
VIBS-604-604,26,0,0,0,0,26,4.000,0,0,0,0,0,26,AROSH J
