Section,A,B,C,D,F,Total A-F,GPA,I,S,U,Q,X,Total,Instructor
ACCT-209-501,144,174,63,6,5,392,3.137,0,0,0,15,0,407,CLARKE M
ACCT-209-502,152,184,55,10,5,406,3.152,0,0,0,11,0,417,CLARKE M
ACCT-209-503,6,8,4,0,0,18,3.111,0,0,0,2,0,20,CLARKE M
ACCT-209-505,15,40,47,10,6,118,2.406,0,0,0,8,0,126,MARK S
ACCT-210-501,90,70,22,5,6,193,3.207,0,0,0,3,1,197,STRAWSER R
ACCT-229-202,10,14,0,0,0,24,3.416,0,0,0,1,0,25,STRAWSER J
ACCT-229-501,7,9,10,8,1,35,2.371,0,0,0,8,0,43,BARRETT J
ACCT-229-502,13,13,15,9,0,50,2.600,0,0,0,11,0,61,BARRETT J
ACCT-229-503,12,16,10,7,0,45,2.733,0,0,0,8,0,53,BARRETT J
ACCT-229-504,23,24,16,2,2,67,2.955,0,0,0,9,0,76,KNOOP J
ACCT-229-505,16,17,11,4,2,50,2.820,1,0,0,11,0,62,KNOOP J
ACCT-229-506,2,14,12,4,0,32,2.437,0,0,0,3,0,35,ARNOSKY C
ACCT-229-507,6,12,8,3,0,29,2.724,0,0,0,7,0,36,ARNOSKY C
ACCT-229-510,8,10,10,6,1,35,2.514,0,0,0,10,0,45,HEAD M
ACCT-229-511,3,8,10,1,1,23,2.478,0,0,0,4,0,27,NOOR S
ACCT-229-512,4,7,8,4,0,23,2.478,0,0,0,6,0,29,JUDD H
ACCT-230-200,19,10,0,0,0,29,3.655,0,0,0,0,0,29,WEAVER A
ACCT-230-201,15,10,1,0,0,26,3.538,0,0,0,0,0,26,WEAVER A
ACCT-230-500,71,89,57,15,2,234,2.905,0,0,0,14,0,248,ALLEN N
ACCT-230-501,77,93,43,13,1,227,3.022,0,0,0,13,0,240,ALLEN N
ACCT-230-503,18,17,7,1,1,44,3.136,0,0,0,3,0,47,MARK S
ACCT-327-501,2,19,6,0,0,27,2.851,0,0,0,2,0,29,BLASOR T
ACCT-327-502,11,11,4,1,0,27,3.185,0,0,0,3,0,30,BLASOR T
ACCT-327-503,9,6,4,1,0,20,3.150,8,0,0,1,0,29,LARKIN R
ACCT-327-504,8,12,6,1,0,27,3.000,5,0,0,3,0,35,LARKIN R
ACCT-327-505,5,12,4,0,0,21,3.047,5,0,0,6,0,32,LARKIN R
ACCT-327-506,3,8,8,0,0,19,2.736,3,0,0,2,0,24,LARKIN R
ACCT-327-508,28,8,2,1,3,42,3.357,0,0,0,1,0,43,LOUDDER M
ACCT-327-509,2,6,9,1,2,20,2.250,0,0,0,5,0,25,BLUM E
ACCT-327-510,4,9,7,3,0,23,2.608,0,0,0,4,0,27,BLUM E
ACCT-327-511,8,5,10,2,0,25,2.760,0,0,0,4,0,29,BLUM E
ACCT-327-512,16,24,17,3,0,60,2.883,0,0,0,4,0,64,CLINE K
ACCT-328-501,30,9,3,0,0,42,3.642,0,0,0,0,0,42,HARDING M
ACCT-328-502,29,14,3,0,0,46,3.565,0,0,0,1,0,47,HARDING M
ACCT-328-503,26,11,3,0,0,40,3.575,0,0,0,0,0,40,HARDING M
ACCT-328-504,21,13,2,1,0,37,3.459,0,0,0,2,0,39,GROSSMAN S
ACCT-328-505,19,16,2,0,0,37,3.459,0,0,0,0,0,37,GROSSMAN S
ACCT-328-506,24,9,2,1,0,36,3.555,0,0,0,1,0,37,GROSSMAN S
ACCT-328-507,28,8,1,1,0,38,3.657,0,0,0,1,0,39,SHAFRON E
ACCT-328-509,29,7,3,1,0,40,3.600,0,0,0,0,0,40,SHAFRON E
ACCT-328-510,24,10,1,1,0,36,3.583,0,0,0,0,0,36,SHAFRON E
ACCT-329-501,99,16,5,0,0,120,3.783,0,0,0,1,0,121,FARMER K
ACCT-329-502,23,3,0,0,0,26,3.884,0,0,0,0,0,26,FARMER K
ACCT-403-500,6,0,0,0,0,6,4.000,0,0,0,0,0,6,HARDING M
ACCT-405-501,5,7,4,0,0,16,3.062,0,0,0,0,0,16,LASSILA D
ACCT-405-502,6,5,6,1,0,18,2.888,0,0,0,1,0,19,STEWART S
ACCT-407-901,13,6,2,1,0,22,3.409,0,0,0,1,0,23,EGE M
ACCT-407-902,3,9,5,0,0,17,2.882,0,0,0,1,0,18,EGE M
ACCT-407-903,5,13,2,0,1,21,3.000,0,0,0,1,0,22,EGE M
ACCT-407-904,7,14,1,0,0,22,3.272,0,0,0,0,0,22,GARZA B
ACCT-407-905,8,9,5,1,0,23,3.043,0,0,0,0,0,23,GARZA B
ACCT-407-906,7,12,1,0,0,20,3.300,0,0,0,1,0,21,GARZA B
ACCT-407-907,6,16,4,0,0,26,3.076,0,0,0,0,0,26,SHAUB M
ACCT-407-908,7,10,6,0,0,23,3.043,0,0,0,1,0,24,DIAZ M
ACCT-407-909,8,10,2,0,0,20,3.300,0,0,0,1,0,21,DIAZ M
ACCT-408-500,13,10,0,0,0,23,3.565,0,0,0,1,0,24,BLASOR T
ACCT-410-500,20,10,0,0,0,30,3.666,0,0,0,0,0,30,HEAD M
ACCT-421-930,34,0,0,0,0,34,4.000,0,0,0,0,0,34,STASNY M
ACCT-421-931,35,0,0,0,0,35,4.000,0,0,0,0,0,35,STASNY M
ACCT-421-932,29,0,0,0,0,29,4.000,0,0,0,0,0,29,STASNY M
ACCT-427-501,9,7,1,0,0,17,3.470,0,0,0,2,0,19,ARNOSKY C
ACCT-427-502,6,14,2,1,0,23,3.086,0,0,0,0,0,23,ARNOSKY C
ACCT-447-501,2,9,1,0,0,12,3.083,0,0,0,1,0,13,REDMAN K
ACCT-447-502,1,9,1,0,0,11,3.000,0,0,0,0,0,11,REDMAN K
ACCT-450-500,11,0,0,0,0,11,4.000,0,0,0,0,0,11,HEAD M
ACCT-603-600,11,0,0,0,0,11,4.000,0,0,0,0,0,11,HARDING M
ACCT-607-600,22,6,0,0,0,28,3.785,0,0,0,0,0,28,FLAGG J
ACCT-610-651,24,7,0,0,0,31,3.774,0,0,0,0,0,31,MCANALLY M
ACCT-610-661,31,17,4,0,0,52,3.519,0,0,0,0,0,52,MCANALLY M
ACCT-611-602,11,11,0,0,0,22,3.500,0,0,0,0,0,22,HEPFER B
ACCT-611-603,10,11,0,0,0,21,3.476,0,0,0,0,0,21,HEPFER B
ACCT-612-600,10,11,1,0,0,22,3.409,0,0,0,0,0,22,LASSILA D
ACCT-612-602,6,13,0,0,0,19,3.315,0,0,0,0,0,19,LASSILA D
ACCT-620-661,45,7,0,0,0,52,3.865,0,0,0,0,0,52,KINNEY M
ACCT-621-600,18,5,0,0,0,23,3.782,0,0,0,0,0,23,MCELROY T
ACCT-621-604,12,8,0,0,0,20,3.600,0,0,0,0,0,20,MCELROY T
ACCT-621-605,15,9,0,0,0,24,3.625,0,0,0,0,0,24,MCELROY T
ACCT-622-600,8,8,3,0,0,19,3.263,0,0,0,0,0,19,WEAVER C
ACCT-622-601,10,7,0,0,0,17,3.588,0,0,0,0,0,17,WEAVER C
ACCT-624-600,24,0,0,0,0,24,4.000,0,0,0,0,0,24,SANDERS J
ACCT-625-600,9,0,0,0,0,9,4.000,0,0,0,0,0,9,SHAUB M
ACCT-628-601,22,18,1,0,0,41,3.512,0,0,0,3,0,44,SANDERS J
ACCT-628-602,24,16,2,0,0,42,3.523,1,0,0,2,0,45,SANDERS J
ACCT-628-603,29,13,0,0,0,42,3.690,0,0,0,1,0,43,SANDERS J
ACCT-640-699,12,11,17,0,0,40,2.875,0,0,0,2,0,42,FOSTER C
ACCT-640-700,3,5,5,0,0,13,2.846,0,0,0,2,0,15,FOSTER C
ACCT-647-603,22,0,0,0,0,22,4.000,0,0,0,1,0,23,WEAVER A
ACCT-647-604,9,16,1,0,0,26,3.307,0,0,0,0,0,26,TSE S
ACCT-647-605,12,17,1,0,0,30,3.366,0,0,0,0,0,30,TSE S
ACCT-648-601,8,22,5,0,0,35,3.085,0,0,0,0,0,35,WOLFE C
ACCT-648-602,10,18,4,0,0,32,3.187,0,0,0,0,0,32,WOLFE C
ACCT-648-603,5,22,1,0,1,29,3.034,0,0,0,2,0,31,WOLFE C
ACCT-650-600,42,0,0,0,0,42,4.000,0,0,0,0,0,42,HEAD M
ACCT-651-601,8,15,0,0,0,23,3.347,0,0,0,0,0,23,AHMED A
ACCT-651-602,9,9,1,0,0,19,3.421,0,0,0,0,0,19,AHMED A
ACCT-651-603,7,17,0,0,0,24,3.291,0,0,0,0,0,24,YUST C
ACCT-651-604,5,13,0,0,0,18,3.277,0,0,0,0,0,18,AHMED A
ACCT-651-605,8,14,3,0,0,25,3.200,0,0,0,0,0,25,AHMED A
ACCT-688-601,3,3,0,0,0,6,3.500,0,0,0,0,0,6,ROBINSON J
ACCT-689-600,17,0,0,0,0,17,4.000,0,0,0,0,0,17,SHARP N
ACCT-710-600,38,24,0,0,0,62,3.612,0,0,0,0,0,62,ALLEN N
BUAD-620-601,40,1,1,0,0,42,3.928,0,0,0,0,0,42,USERA D
BUAD-620-602,39,1,1,0,0,41,3.926,0,0,0,0,0,41,USERA D
BUAD-620-652,28,8,0,0,0,36,3.777,0,0,0,0,0,36,USERA D
BUAD-620-661,44,8,0,0,0,52,3.846,0,0,0,0,0,52,USERA D
BUAD-679-601,50,3,0,0,0,53,3.943,0,0,0,0,0,53,MARCANTONIO J
BUAD-679-651,34,0,0,0,0,34,4.000,0,0,0,0,0,34,HALE T
BUAD-679-652,28,0,0,0,0,28,4.000,0,0,0,0,0,28,HALE T
BUAD-679-700,23,0,0,1,0,24,3.875,0,0,0,0,0,24,HALE T
BUAD-679-701,24,0,0,0,0,24,4.000,0,0,0,0,0,24,HALE T
BUAD-689-601,23,0,0,0,0,23,4.000,1,0,0,0,0,24,ABBOTT J
BUAD-689-651,28,0,0,0,0,28,4.000,0,0,0,0,0,28,ABBOTT J
BUAD-693-601,52,0,1,0,0,53,3.962,0,0,0,0,0,53,MARCANTONIO J
BUAD-702-600,54,7,0,0,1,62,3.822,0,0,0,0,0,62,AUSTIN S
BUAD-705-600,36,23,2,0,0,61,3.557,0,0,0,0,1,62,ALEXANDER M
BUAD-720-600,60,2,0,0,0,62,3.967,0,0,0,0,0,62,HUGHES L
BUSN-101-501,19,2,0,0,0,21,3.904,0,0,0,0,0,21,JOHNSON R
BUSN-101-502,14,4,0,0,0,18,3.777,0,0,0,0,0,18,JOHNSON R
BUSN-101-503,18,1,0,0,0,19,3.947,0,0,0,0,0,19,JOHNSON R
BUSN-101-504,18,0,0,0,0,18,4.000,0,0,0,0,0,18,JOHNSON R
BUSN-101-505,14,5,0,0,0,19,3.736,0,0,0,0,0,19,JOHNSON R
BUSN-101-506,13,6,0,0,0,19,3.684,0,0,0,0,0,19,JOHNSON R
BUSN-101-507,19,1,0,0,0,20,3.950,0,0,0,0,0,20,JOHNSON R
BUSN-101-508,17,4,0,0,0,21,3.809,0,0,0,0,0,21,JOHNSON R
BUSN-101-509,12,5,0,0,0,17,3.705,0,0,0,1,0,18,JOHNSON R
