Section,A,B,C,D,F,Total A-F,GPA,I,S,U,Q,X,Total,Instructor
AERO-201-200,5,13,7,0,0,25,2.920,0,0,0,0,0,25,SHRYOCK K
AERO-201-201,4,15,5,0,0,24,2.958,0,0,0,1,0,25,SHRYOCK K
AERO-201-500,6,23,14,1,1,45,2.711,0,0,0,0,0,45,SHRYOCK K
AERO-201-501,6,15,8,4,0,33,2.696,0,0,0,2,0,35,SHRYOCK K
AERO-201-502,2,13,10,3,1,29,2.413,0,0,0,2,0,31,VALASEK J
AERO-201-503,1,7,9,9,3,29,1.793,0,0,0,4,0,33,VALASEK J
AERO-201-504,2,11,14,3,1,31,2.322,0,0,0,2,0,33,VALASEK J
AERO-211-200,31,15,1,0,0,47,3.638,0,0,0,0,0,47,MOBLE B
AERO-211-500,24,16,7,0,0,47,3.361,0,0,0,1,0,48,MOBLE B
AERO-211-501,5,11,13,2,1,32,2.531,0,0,0,1,0,33,BHATTACHARYA R
AERO-211-504,30,34,20,3,2,89,2.977,0,0,0,3,0,92,GUZMAN F
AERO-212-200,8,14,2,0,0,24,3.250,0,0,0,5,0,29,BOYD J
AERO-212-500,4,13,16,3,1,37,2.432,0,0,0,31,0,68,BOYD J
AERO-212-502,7,20,17,2,3,49,2.530,0,0,0,48,0,97,BOYD J
AERO-214-500,1,9,6,2,2,20,2.250,0,0,0,0,0,20,NARAGHI M
AERO-214-501,1,3,8,3,1,16,2.000,0,0,0,1,0,17,NARAGHI M
AERO-214-502,2,6,5,2,0,15,2.533,0,0,0,0,0,15,NARAGHI M
AERO-222-500,11,12,6,1,0,30,3.100,0,0,0,1,0,31,MORTARI D
AERO-222-501,10,9,8,0,1,28,2.964,0,0,0,2,0,30,MORTARI D
AERO-301-200,13,7,1,0,0,21,3.571,0,0,0,0,0,21,TROPINA A
AERO-301-500,37,16,8,2,0,63,3.396,0,0,0,2,0,65,TROPINA A
AERO-301-501,23,18,14,0,2,57,3.052,0,0,0,0,0,57,STRGANAC T
AERO-303-500,8,13,13,6,2,42,2.452,0,0,0,1,0,43,REED H
AERO-304-200,8,2,0,0,0,10,3.800,0,0,0,0,0,10,BENZERGA A
AERO-304-500,15,20,10,4,2,51,2.823,0,0,0,7,0,58,BENZERGA A
AERO-304-501,19,40,10,7,0,76,2.934,0,0,0,8,0,84,TALREJA R
AERO-306-500,2,13,18,4,1,38,2.289,0,0,0,2,0,40,WHITCOMB J
AERO-306-502,31,14,1,2,0,48,3.541,0,0,0,1,0,49,STROUBOULIS T
AERO-307-900,18,1,0,0,0,19,3.947,0,0,0,0,0,19,JACKSON S
AERO-307-901,17,2,0,0,0,19,3.894,0,0,0,0,0,19,JACKSON S
AERO-307-902,9,8,1,0,0,18,3.444,0,0,0,1,0,19,JACKSON S
AERO-307-903,11,5,5,0,0,21,3.285,0,0,0,0,0,21,JACKSON S
AERO-307-904,15,2,0,0,0,17,3.882,0,0,0,2,0,19,JACKSON S
AERO-307-905,13,2,2,0,0,17,3.647,0,0,0,1,0,18,JACKSON S
AERO-307-906,11,5,0,0,0,16,3.687,0,0,0,0,0,16,JACKSON S
AERO-310-500,32,31,11,3,1,78,3.153,0,0,0,2,0,80,MAJJI M
AERO-310-501,19,27,4,2,0,52,3.211,0,0,0,28,0,80,CHAKRAVORTY S
AERO-321-500,5,23,33,5,5,71,2.253,0,0,0,6,0,77,VADALI S
