Section,A,B,C,D,F,Total A-F,GPA,I,S,U,Q,X,Total,Instructor
BUSH-602-600,11,4,0,0,0,15,0.000,0,0,0,2,0,17,RAISOR C
BUSH-631-601,15,3,1,0,0,19,3.736,1,0,0,0,0,20,CORTES K
BUSH-631-602,11,2,2,0,0,15,3.600,0,0,0,1,0,16,LAHEY J
BUSH-631-603,19,3,0,0,0,22,3.863,0,0,0,0,0,22,CORTES K
BUSH-631-604,10,3,1,0,1,15,3.400,0,0,0,0,0,15,LAHEY J
BUSH-631-607,16,3,0,0,0,19,3.842,0,0,0,0,0,19,DVIR R
BUSH-631-700,23,1,0,0,0,24,3.958,0,0,0,0,0,24,NAKAMURA B
INTA-603-601,9,0,0,0,0,9,4.000,0,0,0,0,0,9,NAPPER L
INTA-603-602,8,0,0,0,0,8,4.000,0,0,0,0,0,8,NAPPER L
INTA-604-600,5,7,0,0,0,12,3.416,0,0,0,0,0,12,TABAAR M
INTA-605-601,21,2,0,0,0,23,3.913,0,0,0,0,0,23,LAYNE C
INTA-605-602,18,6,0,0,0,24,3.750,0,0,0,0,0,24,TEAGUE A
INTA-605-700,6,5,0,0,0,11,3.545,1,0,0,2,0,14,TALBOT B
INTA-606-601,15,6,0,0,0,21,3.714,0,0,0,0,0,21,SCHUESSLER J
INTA-606-602,11,11,0,0,0,22,3.500,0,0,0,0,0,22,SCHUESSLER J
INTA-606-603,19,1,0,0,0,20,3.950,0,0,0,0,0,20,MARIN THORNTON G
INTA-606-604,8,1,1,0,0,10,3.700,0,0,0,0,0,10,WEBER Y
INTA-608-600,23,5,0,0,0,28,3.821,0,0,0,1,0,29,MU R
INTA-608-601,10,14,2,1,1,28,3.107,0,0,0,3,0,31,ROBERTSON R
INTA-608-602,20,9,0,0,0,29,3.689,0,0,0,0,0,29,MU R
INTA-608-603,8,1,0,0,0,9,3.888,0,0,0,0,1,10,ZONGYUAN L
INTA-609-600,11,3,0,0,0,14,3.785,1,0,0,0,0,15,SIEVERT R
INTA-612-600,10,3,0,0,0,13,3.769,0,0,0,1,0,14,SIEVERT R
INTA-623-600,14,2,0,0,0,16,3.875,1,0,0,2,0,19,LAYNE C
INTA-635-600,15,3,0,0,0,18,3.833,0,0,0,0,1,19,NATSIOS A
INTA-644-600,12,1,0,0,0,13,3.923,0,0,0,0,0,13,HAMIE C
INTA-645-600,25,0,0,0,0,25,4.000,0,0,0,0,0,25,HUDSON V
INTA-646-600,14,3,0,0,0,17,3.823,0,0,0,0,1,18,HUDSON V
INTA-648-600,16,3,0,0,0,19,3.842,0,0,0,0,0,19,HUANG R
INTA-651-700,8,2,0,0,0,10,3.800,0,0,0,0,0,10,RUSSELL R
INTA-652-600,12,7,0,0,0,19,3.631,1,0,0,0,0,20,OLSON J
INTA-652-700,8,3,0,0,0,11,3.727,0,0,0,0,0,11,RUSSELL R
INTA-653-700,4,1,0,0,0,5,3.800,0,0,0,0,0,5,DALY S
INTA-657-600,12,4,0,0,1,17,3.529,0,0,0,0,0,17,HOWELL M
INTA-659-600,15,3,0,0,0,18,3.833,1,0,0,0,0,19,HUANG R
INTA-670-601,10,0,0,0,0,10,4.000,0,0,0,0,0,10,MARIN THORNTON G
INTA-671-600,7,2,0,0,0,9,3.777,0,0,0,0,0,9,SNIDER E
INTA-673-600,10,8,0,0,0,18,3.555,0,0,0,0,0,18,NORRIS W
INTA-675-600,8,3,0,0,0,11,3.727,0,0,0,0,0,11,TABAAR M
INTA-680-700,2,4,0,0,0,6,3.333,0,0,0,0,0,6,SMITH J
INTA-686-600,9,0,0,0,0,9,4.000,0,0,0,0,0,9,NAPPER L
INTA-689-600,4,1,0,0,0,5,3.800,0,0,0,0,0,5,MARBACH M
INTA-689-604,9,1,0,0,0,10,3.900,0,0,0,0,0,10,HAMIE C
INTA-689-606,8,0,0,0,0,8,4.000,0,0,0,0,0,8,GILL M
INTA-689-607,13,0,0,0,0,13,4.000,0,0,0,1,0,14,HOWELL M
INTA-689-608,11,1,0,0,0,12,3.916,0,0,0,2,0,14,SOWELL J
INTA-696-601,12,0,0,0,0,12,4.000,0,0,0,0,0,12,THOROUGHMAN K
INTA-696-602,19,0,0,0,0,19,4.000,0,0,0,0,0,19,THOROUGHMAN K
INTA-700-600,13,7,0,0,0,20,3.650,0,0,0,0,0,20,OLSON J
INTA-701-600,20,0,0,0,0,20,4.000,0,0,0,0,0,20,RUYLE L
INTA-705-600,9,0,0,0,0,9,4.000,0,0,0,0,0,9,PARKER G
INTA-706-600,6,2,0,0,0,8,3.750,0,0,0,0,0,8,MCLAUGHLIN J
INTA-708-600,6,0,0,0,0,6,4.000,1,0,0,2,0,9,SOWELL J
INTA-714-600,16,0,0,0,0,16,4.000,0,0,0,0,0,16,GILL M
DEPARTMENT TOTAL:,549,135,3,1,2,690,3.779,6,0,0,14,3,713,
PSAA-601-601,18,1,0,0,0,19,3.947,0,0,0,0,0,19,COMPTON M
PSAA-601-602,16,6,0,0,0,22,3.727,0,0,0,0,0,22,WEST W
PSAA-601-603,18,0,0,0,0,18,4.000,0,0,0,0,0,18,COMPTON M
PSAA-601-604,19,2,0,0,1,22,3.727,0,0,0,0,0,22,BRIGHT L
PSAA-601-700,16,0,0,0,0,16,4.000,1,0,0,0,0,17,SMITH S
PSAA-602-700,7,9,2,1,3,22,2.727,0,0,0,0,0,22,FERNSLER T
PSAA-604-600,7,3,0,1,0,11,3.454,1,0,0,0,0,12,MOATS J
PSAA-604-700,11,4,2,0,1,18,3.333,2,0,0,0,0,20,KILTZ L
PSAA-608-700,18,3,0,0,0,21,3.857,0,0,0,0,0,21,WHITTEN G
PSAA-611-700,25,0,0,0,0,25,4.000,0,0,0,0,0,25,NAKAMURA B
PSAA-615-601,13,7,0,0,0,20,3.650,0,0,0,0,0,20,MARCHBANKS M
PSAA-615-602,9,3,0,0,0,12,3.750,0,0,0,0,0,12,HAN J
PSAA-616-600,17,0,0,0,0,17,4.000,0,0,0,0,0,17,ASHLEY F
PSAA-621-601,6,13,0,0,0,19,3.315,0,0,0,0,0,19,LEWIS E
PSAA-621-602,14,10,0,0,0,24,3.583,0,0,0,0,0,24,LEWIS E
PSAA-621-603,13,9,0,0,0,22,3.590,0,0,0,0,0,22,HOUSE D
PSAA-621-604,7,7,1,0,0,15,3.400,2,0,0,0,0,17,TAYLOR L
PSAA-621-700,19,3,0,0,0,22,3.863,0,0,0,0,0,22,SMITH S
PSAA-623-601,9,8,1,0,0,18,3.444,0,0,0,0,0,18,GREER R
PSAA-623-602,14,4,0,0,0,18,3.777,0,0,0,0,0,18,GREER R
PSAA-623-700,17,4,0,0,0,21,3.809,0,0,0,0,0,21,GRAHAM C
PSAA-624-600,6,3,0,0,0,9,3.666,0,0,0,0,0,9,LEWIS E
PSAA-630-700,21,1,0,0,0,22,3.954,0,0,0,0,0,22,CANTRELL-BRUCE T
PSAA-631-700,7,0,0,0,0,7,4.000,0,0,0,0,0,7,LITTLE C
PSAA-632-700,8,1,0,0,0,9,3.888,0,0,0,0,0,9,LITTLE C
PSAA-633-700,7,1,0,0,1,9,3.444,1,0,0,0,0,10,ZUNIGA K
PSAA-634-700,21,3,0,0,0,24,3.875,0,0,0,0,0,24,NAKAMURA B
PSAA-636-600,17,2,1,0,0,20,3.800,0,0,0,0,0,20,TAYLOR K
PSAA-637-600,4,6,0,0,0,10,3.400,0,0,0,0,0,10,MARCHBANKS M
PSAA-641-600,9,0,0,0,0,9,4.000,0,0,0,0,0,9,GRAHAM C
PSAA-643-600,18,6,0,0,0,24,3.750,0,0,0,0,0,24,HILDERBRAND M
PSAA-643-602,14,7,0,0,0,21,3.666,0,0,0,0,0,21,QU H
PSAA-643-603,9,14,1,0,1,25,3.200,0,0,0,1,0,26,QU H
PSAA-643-604,18,5,0,0,0,23,3.782,0,0,0,0,0,23,HILDERBRAND M
PSAA-643-700,16,3,2,0,2,23,3.347,0,0,0,1,0,24,LUM J
PSAA-644-600,16,0,1,0,0,17,3.882,2,0,0,0,0,19,BROWN W
PSAA-644-700,8,2,0,0,1,11,3.454,0,0,0,3,0,14,SEAWORTH A
PSAA-648-700,10,2,0,0,1,13,3.538,0,0,0,0,0,13,MORRISON J
PSAA-655-700,9,1,0,0,0,10,3.900,2,0,0,0,0,12,SHAW T
PSAA-656-700,14,2,0,0,0,16,3.875,0,0,0,2,0,18,ROLLINS J
PSAA-660-600,12,4,0,0,0,16,3.750,0,0,0,0,0,16,DAVIS D
