Section,A,B,C,D,F,Total A-F,GPA,I,S,U,Q,X,Total,Instructor
SECTION,H,P,F/P,F,H - F,GPA,I,S,U,X,TOTAL,INSTRUCTOR
ITDE-611-600,0,0,0,0,48,3.770,0,0,0,0,48,SEARS N
ITDE-613-600,0,0,0,0,34,3.294,0,0,0,0,34,ROBBINS A
ITDE-689-650,0,0,0,0,25,4.000,0,0,0,0,25,MORENO M
DEPARTMENT TOTAL:,0,0,0,0,107,3.612,0,0,0,0,107,
COLLEGE TOTAL:,0,0,0,0,107,3.612,0,0,0,0,107,
SECTION,H,P,F/P,F,H - F,GPA,I,S,U,X,TOTAL,INSTRUCTOR
IMED-800-35D,5,3,0,0,8,3.625,2,0,0,0,10,CLEWING J
IMED-800-35H,2,7,0,0,9,3.222,1,0,0,0,10,CLEWING J
IMED-800-35T,1,7,0,0,8,3.125,0,0,0,0,8,CLEWING J
IMED-800-36H,1,9,0,0,10,3.100,0,0,0,0,10,CLEWING J
MEID-605-302,23,144,0,3,170,3.082,0,0,0,4,174,CHICO D
MEID-605-303,7,41,0,0,48,3.145,0,0,0,0,48,PAOLINI M
MEID-606-303,4,44,0,0,48,3.083,0,0,0,0,48,DERRY P
MEID-606-304,26,144,0,0,170,3.152,0,0,0,0,170,MAXWELL S
MEID-607-303,27,142,0,1,170,3.141,0,0,0,1,171,HUBBARD J
MEID-607-304,7,41,0,0,48,3.145,0,0,0,0,48,DAY L
SECTION,H,P,F/P,F,,H - F,GPA,I,S,U,X,TOTAL,INSTRUCTOR
MEID-619-31B,25,143,0,0,,168,3.148,2,0,0,0,170,LEWIS R
MEID-619-31H,7,40,0,0,,47,3.148,0,0,0,1,48,SIMPSON E
MEID-701-30B,7,49,0,0,,56,3.125,0,0,0,0,56,CANNADAY R
MEID-701-30D,7,40,0,0,,47,3.148,0,0,0,0,47,CANNADAY R
MEID-701-30H,5,29,0,0,,34,3.147,0,0,0,0,34,HOFFMANN H
MEID-701-30T,8,32,0,1,,41,3.121,0,0,0,0,41,CANNADAY R
MEID-704-303,3,29,0,2,,34,2.911,0,0,0,0,34,PETERSON T
MEID-704-304,8,46,0,2,,56,3.035,0,0,0,0,56,CHAFFER S
MEID-704-305,6,39,0,1,,46,3.065,0,0,0,1,47,CHAFFER S
MEID-704-306,4,36,0,1,,41,3.024,0,0,0,0,41,CHAFFER S
SECTION,H,P,F/P,F,,H - F,GPA,I,S,U,X,TOTAL,INSTRUCTOR
MEID-706-300,11,43,0,2,,56,3.089,0,0,0,0,56,BRANDT P
MEID-706-301,2,42,0,2,,46,2.913,0,0,0,1,47,BRANDT P
MEID-706-303,5,34,0,2,,41,2.975,0,0,0,0,41,BRANDT P
MEID-706-304,5,28,0,1,,34,3.058,0,0,0,0,34,HURDLE J
MEID-707-301,8,37,0,1,,46,3.108,0,0,0,0,46,BRANDT P
MEID-707-302,5,27,0,2,,34,2.970,0,0,0,0,34,PATHAM B
MEID-707-303,6,48,0,2,,56,3.000,0,0,0,0,56,BRANDT P
MEID-707-304,8,32,0,1,,41,3.121,0,0,0,0,41,BRANDT P
MEID-708-301,6,40,0,0,,46,3.130,0,0,0,0,46,BRAKORA K
MEID-708-302,5,29,0,0,,34,3.147,0,0,0,0,34,DAY L
SECTION,H,P,F/P,F,H - F,GPA,I,S,U,X,TOTAL,INSTRUCTOR
MEID-708-303,8,33,0,0,41,3.195,0,0,0,0,41,BRAKORA K
MEID-708-304,7,49,1,0,57,3.087,0,0,0,0,57,BRAKORA K
MEID-712-30B,8,48,0,0,56,3.142,0,0,0,0,56,HOLLAND P
MEID-712-30D,9,37,0,0,46,3.195,0,0,0,0,46,HOLLAND P
MEID-712-30H,5,29,0,1,35,3.057,0,0,0,0,35,SIMPSON E
MEID-712-31T,5,36,0,0,41,3.121,0,0,0,0,41,MANSOUR P
MFCM-800-37H,1,4,0,0,5,3.200,0,0,0,0,5,NEAL G
MFCM-800-38H,1,5,0,0,6,3.166,0,0,0,0,6,NEAL G
MPSY-800-35H,3,2,0,0,5,3.600,0,0,0,0,5,MCLAUGHLIN D
MPSY-800-37H,1,4,0,0,5,3.200,0,0,0,0,5,KELT S
SECTION,H,P,F/P,F,H - F,GPA,I,S,U,X,TOTAL,INSTRUCTOR
MPSY-800-38H,6,0,0,0,6,4.000,0,0,0,0,6,KELT S
MRAD-800-30B,4,13,0,0,17,3.235,0,0,0,0,17,SULTENFUSS M
MRAD-800-30D,4,2,0,0,6,3.666,0,0,0,0,6,SULTENFUSS M
MRAD-800-30H,4,13,0,0,17,3.235,1,0,0,0,18,SULTENFUSS M
MRAD-800-30T,13,3,0,0,16,3.812,0,0,0,0,16,SULTENFUSS M
OBGY-800-35H,1,4,0,0,5,3.200,0,0,0,0,5,HARMS K
OBGY-800-36H,2,3,0,0,5,3.400,0,0,0,0,5,HARMS K
OBGY-800-37H,1,5,0,0,6,3.166,1,0,0,0,7,HARMS K
OBGY-800-38D,1,4,0,0,5,3.200,0,0,0,0,5,HARMS K
SURG-800-35D,4,4,0,0,8,3.500,1,0,0,0,9,FUNK G
SURG-800-35H,6,8,0,0,14,3.428,0,0,0,0,14,LITTLE D
SURG-800-35T,4,4,0,0,8,3.500,0,0,0,1,9,LITTLE D
SURG-800-36D,5,4,0,0,9,3.555,1,0,0,0,10,LITTLE D
SURG-800-36H,6,5,0,0,11,3.545,0,0,0,0,11,FUNK G
SURG-800-36T,0,6,0,0,6,3.000,0,0,0,0,6,LITTLE D
DEPARTMENT TOTAL:,353,1750,1,25,2129,3.138,9,0,0,9,2147,
COLLEGE TOTAL:,353,1750,1,25,2129,3.138,9,0,0,9,2147,
