Section,A,B,C,D,F,Total A-F,GPA,I,S,U,Q,X,Total,Instructor
BIOL-100-500,16,1,0,0,0,17,3.941,0,0,0,0,0,17,RAO A
BIOL-107-501,4,8,5,2,0,19,2.736,0,0,0,1,0,20,LEE C
BIOL-107-502,7,9,4,1,0,21,3.047,0,0,0,1,0,22,LEE C
BIOL-107-503,6,12,5,0,0,23,3.043,0,0,0,0,0,23,LEE C
BIOL-107-504,14,4,2,1,2,23,3.173,0,0,0,1,0,24,LEE C
BIOL-107-505,7,6,10,1,0,24,2.791,0,0,0,0,0,24,LEE C
BIOL-107-506,7,9,3,4,0,23,2.826,0,0,0,1,0,24,LEE C
BIOL-107-507,11,9,2,2,0,24,3.208,0,0,0,0,0,24,LEE C
BIOL-107-508,10,7,4,1,0,22,3.181,0,0,0,0,0,22,LEE C
BIOL-107-509,11,12,1,0,0,24,3.416,0,0,0,0,0,24,LEE C
BIOL-107-510,9,4,6,1,2,22,2.772,0,0,0,1,0,23,LEE C
BIOL-107-511,8,3,2,1,3,17,2.705,0,0,0,2,0,19,LEE C
BIOL-107-512,5,6,3,1,2,17,2.647,0,0,0,1,0,18,LEE C
BIOL-111-201,9,4,0,0,0,13,3.692,0,0,0,0,0,13,RYAN K
BIOL-111-202,7,3,1,0,1,12,3.250,0,0,0,1,0,13,RYAN K
BIOL-111-203,9,1,0,1,0,11,3.636,0,0,0,2,0,13,RYAN K
BIOL-111-204,6,3,0,0,0,9,3.666,0,0,0,3,0,12,RYAN K
BIOL-111-205,11,0,1,0,0,12,3.833,0,0,0,1,0,13,RYAN K
BIOL-111-206,9,2,0,0,0,11,3.818,0,0,0,2,0,13,RYAN K
BIOL-111-490,6,7,4,3,3,23,2.434,0,0,0,0,0,23,HAWKINS A
BIOL-111-491,5,8,3,5,0,21,2.619,0,0,0,1,0,22,HAWKINS A
BIOL-111-492,11,5,6,1,0,23,3.130,0,0,0,0,0,23,HAWKINS A
BIOL-111-493,2,12,5,2,3,24,2.333,0,0,0,0,0,24,HAWKINS A
BIOL-111-496,3,3,9,5,0,20,2.200,0,0,0,0,0,20,RAO A
BIOL-111-497,4,11,6,2,1,24,2.625,0,0,0,0,0,24,RAO A
BIOL-111-498,7,8,2,0,2,19,2.947,0,0,0,4,0,23,RAO A
BIOL-111-501,3,10,5,3,0,21,2.619,1,0,0,2,0,24,HAWKINS A
BIOL-111-502,11,7,5,1,0,24,3.166,0,0,0,0,0,24,HAWKINS A
BIOL-111-503,7,12,4,0,0,23,3.130,0,0,0,0,0,23,HAWKINS A
BIOL-111-504,3,11,5,2,2,23,2.478,0,0,0,1,0,24,HAWKINS A
BIOL-111-505,10,11,2,0,0,23,3.347,0,0,0,1,0,24,HAWKINS A
