SECTION,b,A,d,e,B,g,C,i,D,k,F,m,A_2,- F,p,GPA,r,I,t,S,v,U,x,Q,z,aa,bb,X,dd,TOTAL   INSTRUCTOR,ff,gg,hh,ii,jj
CEHD-603-100,,5,,,0,,0,,0,,0,,,5,,4.0,,0,,,False,,False,,,False,,False,,5 GOODSON P,,,,,
,,1.0,,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,5,,,0,,0,,0,,0,,,5,,4.0,,0,,,False,,False,,,False,,False,,5,,,,,
,,1.0,,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
DEPARTMENT TOTAL:,,5,,,0,,0,,0,,0,,,5,,4.0,,0,,,False,,False,,,False,,False,,5,,,,,
,,1.0,,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
FAHRENWALD C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EDAD-606-700,28,,,0,,,0,,0,,0,,,28,4.0,,,0,,,False,False,,,False,,,False,,,28,,,,
,1.0,,,0.0,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,28,,,0,,,0,,0,,0,,,28,4.0,,,0,,,False,False,,,False,,,False,,,28,,,,
,1.0,,,0.0,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
EDAD-608-700,28,,,0,,,0,,0,,0,,,28,4.0,,,0,,,False,False,,,False,,,False,,,28,,,,
,1.0,,,0.0,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,28,,,0,,,0,,0,,0,,,28,4.0,,,0,,,False,False,,,False,,,False,,,28,,,,
,1.0,,,0.0,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
EDAD-609-700,46,,,0,,,0,,0,,0,,,46,4.0,,,0,,,False,False,,,False,,,False,,,46,,,,
,1.0,,,0.0,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
EDAD-609-701,12,,,0,,,0,,0,,0,,,12,4.0,,,0,,,False,False,,,False,,,False,,,12,,,,
,1.0,,,0.0,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,58,,,0,,,0,,0,,0,,,58,4.0,,,0,,,False,False,,,False,,,False,,,58,,,,
,1.0,,,0.0,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
EDAD-619-300,10,,,1,,,0,,0,,0,,,11,3.909,,,0,,,False,False,,,True,,,False,,,12,,,,
,0.9091,,,0.0909,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,10,,,1,,,0,,0,,0,,,11,3.909,,,0,,,False,False,,,True,,,False,,,12,,,,
,0.9091,,,0.0909,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
EDAD-623-300,15,,,0,,,0,,0,,0,,,15,4.0,,,0,,,False,False,,,False,,,False,,,15,,,,
