SECTION,b,A,d,e,B,g,C,i,D,k,F,m,A_2,- F,p,GPA,r,I,t,S,v,U,x,Q,z,aa,bb,X,dd,TOTAL   INSTRUCTOR,ff,gg,hh,ii,jj
CEHD-603-600,,7,,,3,,1,,0,,0,,,11,,3.545,,0,,,True,,False,,,False,,0,,12 GOODSON P,,,,,
,,0.6364,,,0.2727,,0.0909,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,7,,,3,,1,,0,,0,,,11,,3.545,,0,,,True,,False,,,False,,0,,12,,,,,
,,0.6364,,,0.2727,,0.0909,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
DEPARTMENT TOTAL:,,7,,,3,,1,,0,,0,,,11,,3.545,,0,,,True,,False,,,False,,0,,12,,,,,
,,0.6364,,,0.2727,,0.0909,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
HAYNES DAVISON C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EDAD-601-600,8,,,0,,,0,,0,,0,,,8,4.0,,,0,,,False,False,,,False,,,0,,,8,,,,
,1.0,,,0.0,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,8,,,0,,,0,,0,,0,,,8,4.0,,,0,,,False,False,,,False,,,0,,,8,,,,
,1.0,,,0.0,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
EDAD-603-600,9,,,11,,,0,,0,,0,,,20,3.45,,,0,,,False,False,,,False,,,0,,,20,,,,
,0.45,,,0.55,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,9,,,11,,,0,,0,,0,,,20,3.45,,,0,,,False,False,,,False,,,0,,,20,,,,
,0.45,,,0.55,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
EDAD-605-700,21,,,7,,,0,,0,,0,,,28,3.75,,,0,,,False,False,,,False,,,0,,,28,,,,
,0.75,,,0.25,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
EDAD-605-701,12,,,0,,,0,,0,,0,,,12,4.0,,,0,,,False,False,,,False,,,0,,,12,,,,
,1.0,,,0.0,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,33,,,7,,,0,,0,,0,,,40,3.825,,,0,,,False,False,,,False,,,0,,,40,,,,
,0.825,,,0.175,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
EDAD-610-600,19,,,0,,,0,,0,,0,,,19,4.0,,,0,,,False,False,,,False,,,0,,,19,,,,
